id,order_id,menu_item_id,quantity,price
1,1,1,2,850.00
2,1,4,1,450.00
3,2,2,1,950.00
4,3,5,1,650.00
5,3,8,1,400.00
6,3,6,1,750.00
7,4,9,1,600.00
8,4,10,1,750.00
9,5,12,2,850.00
10,5,14,1,350.00
11,5,13,1,950.00
12,6,7,1,1200.00
13,6,5,1,650.00
14,6,8,1,400.00
15,7,1,1,850.00
16,7,3,1,900.00
17,8,11,1,650.00
18,8,10,1,750.00
19,9,12,1,850.00
20,9,14,1,350.00
21,10,16,1,550.00
22,10,15,1,450.00
23,10,18,1,350.00
24,11,5,1,650.00
25,12,12,1,850.00
26,12,14,1,350.00
27,13,17,1,800.00
28,13,16,1,550.00
29,13,18,1,350.00
30,14,2,1,950.00
31,15,10,1,750.00
32,15,9,1,650.00
33,16,17,1,800.00
34,17,6,1,750.00
35,17,7,1,1200.00
36,18,1,1,850.00
37,18,3,1,900.00
38,19,14,1,350.00
39,19,13,1,950.00
40,20,11,1,650.00
